Number,Date,Song,Artist,Platform,Release Date,,,,,
222,26/07/2022,IF THERE'S NO SEAT IN THE SKY,Saya Gray,Spotify,,,,,,
223,27/07/2022,The Love I Need,Girlhood,Spotify,,,,,,
224,28/07/2022,Zipcodes,Joey Bada$$,Spotify,,,,,,
225,29/07/2022,Waste My Time,The Crystal Casino Band,Spotify,,,,,,
226,30/07/2022,Panic Attacks,Yellow Days,Spotify,,,,,,
227,31/07/2022,54321,april,SoundCloud,,,,,,
228,01/08/2022,Loser,CARR,Spotify,,,,,,
229,02/08/2022,Better in the Dark,Jordana,SoundCloud,,,,,,
230,03/08/2022,Windowlicker,Aphex Twin,Spotify,,,,,,
231,04/08/2022,Nights,Billy Ocean,Spotify,,,,,,
232,05/08/2022,Freight Train,Alan Jackson,Spotify,,,,,,
233,06/08/2022,Change Your Heart or Die,The Midnight,Spotify,,,,,,
234,07/08/2022,Chew My Checks ,Prima Queen,Spotify,,,,,,
235,08/08/2022,Invisible Hand,Prima Queen,Spotify,,,,,,
236,09/08/2022,East Bound and Down,Jerry Reed,Spotify,,,,,,
237,10/08/2022,Eliza Rose,B.O.T.A,Youtube ,,,,,,
238,11/08/2022,NPR Music Tiny Desk Concert,Jorja Smith,Youtube,,,,,,
239,12/08/2022,Autopilot,Dev Lemons,Spotify,,,,,,
240,13/08/2022,Marlena Shaw,California Soul,Spotify,,,,,,
241,14/08/2022,we move!,DellaXOZ,Spotify,,,,,,
242,15/08/2022,Blu (Acoustic),Jon Bellion,Youtube,,,,,,
243,16/08/2022,Vest & Boxers,Lava La Rue,Spotify,,,,,,
244,17/08/2022,Raindrops,Butch,Spotify,,,,,,
245,18/08/2022,Miracle,A Day To Remember,Spotify,,,,,,
246,19/08/2022,Dial Two Seven,Lapsley,Spotify,,,,,,
247,20/08/2022,29,Demi Lovato,Spotify,,,,,,
248,21/08/2022,,,,,,,,,
249,22/08/2022,,,,,,,,,
250,23/08/2022,,,,,,,,,
251,24/08/2022,,,,,,,,,
252,25/08/2022,,,,,,,,,
253,26/08/2022,,,,,,,,,
254,27/08/2022,,,,,,,,,
255,28/08/2022,,,,,,,,,
256,29/08/2022,,,,,,,,,
257,30/08/2022,,,,,,,,,
258,31/08/2022,,,,,,,,,
259,01/09/2022,,,,,,,,,
260,02/09/2022,,,,,,,,,
261,03/09/2022,,,,,,,,,
262,04/09/2022,,,,,,,,,
263,05/09/2022,,,,,,,,,
264,06/09/2022,,,,,,,,,
265,07/09/2022,,,,,,,,,
266,08/09/2022,,,,,,,,,
267,09/09/2022,,,,,,,,,
268,10/09/2022,,,,,,,,,
269,11/09/2022,,,,,,,,,
270,12/09/2022,,,,,,,,,
271,13/09/2022,,,,,,,,,
272,14/09/2022,,,,,,,,,
273,15/09/2022,,,,,,,,,
274,16/09/2022,,,,,,,,,
275,17/09/2022,,,,,,,,,
276,18/09/2022,,,,,,,,,
277,19/09/2022,,,,,,,,,
278,20/09/2022,,,,,,,,,
279,21/09/2022,,,,,,,,,
280,22/09/2022,,,,,,,,,
281,23/09/2022,,,,,,,,,
282,24/09/2022,,,,,,,,,
283,25/09/2022,,,,,,,,,
284,26/09/2022,,,,,,,,,
285,27/09/2022,,,,,,,,,
286,28/09/2022,,,,,,,,,
287,29/09/2022,,,,,,,,,
288,30/09/2022,,,,,,,,,
289,01/10/2022,,,,,,,,,
290,02/10/2022,,,,,,,,,
291,03/10/2022,,,,,,,,,
292,04/10/2022,,,,,,,,,
293,05/10/2022,,,,,,,,,
294,06/10/2022,,,,,,,,,
295,07/10/2022,,,,,,,,,
296,08/10/2022,,,,,,,,,
297,09/10/2022,,,,,,,,,
298,10/10/2022,,,,,,,,,
299,11/10/2022,,,,,,,,,
300,12/10/2022,,,,,,,,,
301,13/10/2022,,,,,,,,,
302,14/10/2022,,,,,,,,,
303,15/10/2022,,,,,,,,,
304,16/10/2022,,,,,,,,,
305,17/10/2022,,,,,,,,,
306,18/10/2022,,,,,,,,,
307,19/10/2022,,,,,,,,,
308,20/10/2022,,,,,,,,,
309,21/10/2022,,,,,,,,,
310,22/10/2022,,,,,,,,,
311,23/10/2022,,,,,,,,,
312,24/10/2022,,,,,,,,,
313,25/10/2022,,,,,,,,,
314,26/10/2022,,,,,,,,,
315,27/10/2022,,,,,,,,,
316,28/10/2022,,,,,,,,,
317,29/10/2022,,,,,,,,,
318,30/10/2022,,,,,,,,,
319,31/10/2022,,,,,,,,,
320,01/11/2022,,,,,,,,,
321,02/11/2022,,,,,,,,,
322,03/11/2022,,,,,,,,,
323,04/11/2022,,,,,,,,,
324,05/11/2022,,,,,,,,,
325,06/11/2022,,,,,,,,,
326,07/11/2022,,,,,,,,,
327,08/11/2022,,,,,,,,,
328,09/11/2022,,,,,,,,,
329,10/11/2022,,,,,,,,,
330,11/11/2022,,,,,,,,,
331,12/11/2022,,,,,,,,,
332,13/11/2022,,,,,,,,,
333,14/11/2022,,,,,,,,,
334,15/11/2022,,,,,,,,,
335,16/11/2022,,,,,,,,,
336,17/11/2022,,,,,,,,,
337,18/11/2022,,,,,,,,,
338,19/11/2022,,,,,,,,,
339,20/11/2022,,,,,,,,,
340,21/11/2022,,,,,,,,,
341,22/11/2022,,,,,,,,,
342,23/11/2022,,,,,,,,,
343,24/11/2022,,,,,,,,,
344,25/11/2022,,,,,,,,,
345,26/11/2022,,,,,,,,,
346,27/11/2022,,,,,,,,,
347,28/11/2022,,,,,,,,,
348,29/11/2022,,,,,,,,,
349,30/11/2022,,,,,,,,,
350,01/12/2022,,,,,,,,,
